ISO3,Country name,Region
AFG,Afghanistan,South Asia
ALA,Åland Islands,Europe & Central Asia
ALB,Albania,Europe & Central Asia
DZA,Algeria,Middle East & North Africa
ASM,American Samoa,East Asia & Pacific
AND,Andorra,Europe & Central Asia
AGO,Angola,Sub-Saharan Africa
AIA,Anguilla,Latin America & Caribbean
ATA,Antarctica,Antarctica
ATG,Antigua and Barbuda,Latin America & Caribbean
ARG,Argentina,Latin America & Caribbean
ARM,Armenia,Europe & Central Asia
ABW,Aruba,Latin America & Caribbean
AUS,Australia,East Asia & Pacific
AUT,Austria,Europe & Central Asia
AZE,Azerbaijan,Europe & Central Asia
BHS,Bahamas,Latin America & Caribbean
BHR,Bahrain,Middle East & North Africa
BGD,Bangladesh,South Asia
BRB,Barbados,Latin America & Caribbean
BLR,Belarus,Europe & Central Asia
BEL,Belgium,Europe & Central Asia
BLZ,Belize,Latin America & Caribbean
BEN,Benin,Sub-Saharan Africa
BMU,Bermuda,North America
BTN,Bhutan,South Asia
BOL,"Bolivia, Plurinational State of",Latin America & Caribbean
BES,"Bonaire, Sint Eustatius and Saba",
BIH,Bosnia and Herzegovina,Europe & Central Asia
BWA,Botswana,Sub-Saharan Africa
BVT,Bouvet Island,
BRA,Brazil,Latin America & Caribbean
IOT,British Indian Ocean Territory,
BRN,Brunei Darussalam,East Asia & Pacific
BGR,Bulgaria,Europe & Central Asia
BFA,Burkina Faso,Sub-Saharan Africa
BDI,Burundi,Sub-Saharan Africa
KHM,Cambodia,East Asia & Pacific
CMR,Cameroon,Sub-Saharan Africa
CAN,Canada,North America
CPV,Cape Verde,Sub-Saharan Africa
CYM,Cayman Islands,Latin America & Caribbean
CAF,Central African Republic,Sub-Saharan Africa
TCD,Chad,Sub-Saharan Africa
CHI,Channel Islands,Europe & Central Asia
CHL,Chile,Latin America & Caribbean
CHN,China,East Asia & Pacific
CXR,Christmas Island,
CCK,Cocos (Keeling) Islands,
COL,Colombia,Latin America & Caribbean
COM,Comoros,Sub-Saharan Africa
COG,Congo,Sub-Saharan Africa
COD,"Congo, the Democratic Republic of the",Sub-Saharan Africa
COK,Cook Islands,
CRI,Costa Rica,Latin America & Caribbean
CIV,Côte d’Ivoire,Sub-Saharan Africa
HRV,Croatia,Europe & Central Asia
CUB,Cuba,Latin America & Caribbean
CUW,Curaçao,Latin America & Caribbean
CYP,Cyprus,Europe & Central Asia
CZE,Czech Republic,Europe & Central Asia
DNK,Denmark,Europe & Central Asia
DJI,Djibouti,Middle East & North Africa
DMA,Dominica,Latin America & Caribbean
DOM,Dominican Republic,Latin America & Caribbean
ECU,Ecuador,Latin America & Caribbean
EGY,Egypt,Middle East & North Africa
SLV,El Salvador,Latin America & Caribbean
GNQ,Equatorial Guinea,Sub-Saharan Africa
ERI,Eritrea,Sub-Saharan Africa
EST,Estonia,Europe & Central Asia
SWZ,Eswatini,Sub-Saharan Africa
ETH,Ethiopia,Sub-Saharan Africa
FLK,Falkland Islands (Malvinas),
FRO,Faroe Islands,Europe & Central Asia
FJI,Fiji,East Asia & Pacific
FIN,Finland,Europe & Central Asia
FRA,France,Europe & Central Asia
GUF,French Guiana,
PYF,French Polynesia,East Asia & Pacific
ATF,French Southern Territories,
GAB,Gabon,Sub-Saharan Africa
GMB,Gambia,Sub-Saharan Africa
GEO,Georgia,Europe & Central Asia
DEU,Germany,Europe & Central Asia
GHA,Ghana,Sub-Saharan Africa
GIB,Gibraltar,Europe & Central Asia
GRC,Greece,Europe & Central Asia
GRL,Greenland,Europe & Central Asia
GRD,Grenada,Latin America & Caribbean
GLP,Guadeloupe,
GUM,Guam,East Asia & Pacific
GTM,Guatemala,Latin America & Caribbean
GGY,Guernsey,
GIN,Guinea,Sub-Saharan Africa
GNB,Guinea-Bissau,Sub-Saharan Africa
GUY,Guyana,Latin America & Caribbean
HTI,Haiti,Latin America & Caribbean
HMD,Heard Island and McDonald Islands,
VAT,Holy See (Vatican City State),
HND,Honduras,Latin America & Caribbean
HKG,Hong Kong,East Asia & Pacific
HUN,Hungary,Europe & Central Asia
ISL,Iceland,Europe & Central Asia
IND,India,South Asia
IDN,Indonesia,East Asia & Pacific
IRN,Iran,Middle East & North Africa
IRQ,Iraq,Middle East & North Africa
IRL,Ireland,Europe & Central Asia
IMN,Isle of Man,Europe & Central Asia
ISR,Israel,Middle East & North Africa
ITA,Italy,Europe & Central Asia
JAM,Jamaica,Latin America & Caribbean
JPN,Japan,East Asia & Pacific
JEY,Jersey,
JOR,Jordan,Middle East & North Africa
KAZ,Kazakhstan,Europe & Central Asia
KEN,Kenya,Sub-Saharan Africa
KIR,Kiribati,East Asia & Pacific
PRK,"Korea, Democratic People’s Republic of",East Asia & Pacific
KOR,"Korea, Republic of",East Asia & Pacific
XKX,Kosovo,Europe & Central Asia
KWT,Kuwait,Middle East & North Africa
KGZ,Kyrgyzstan,Europe & Central Asia
LAO,Lao People’s Democratic Republic,East Asia & Pacific
LVA,Latvia,Europe & Central Asia
LBN,Lebanon,Middle East & North Africa
LSO,Lesotho,Sub-Saharan Africa
LBR,Liberia,Sub-Saharan Africa
LBY,Libya,Middle East & North Africa
LIE,Liechtenstein,Europe & Central Asia
LTU,Lithuania,Europe & Central Asia
LUX,Luxembourg,Europe & Central Asia
MAC,Macao,East Asia & Pacific
MKD,Macedonia,Europe & Central Asia
MDG,Madagascar,Sub-Saharan Africa
MWI,Malawi,Sub-Saharan Africa
MYS,Malaysia,East Asia & Pacific
MDV,Maldives,South Asia
MLI,Mali,Sub-Saharan Africa
MLT,Malta,Middle East & North Africa
MHL,Marshall Islands,East Asia & Pacific
MTQ,Martinique,
MRT,Mauritania,Sub-Saharan Africa
MUS,Mauritius,Sub-Saharan Africa
MYT,Mayotte,
MEX,Mexico,Latin America & Caribbean
FSM,"Micronesia, Federated States of",East Asia & Pacific
MDA,"Moldova, Republic of",Europe & Central Asia
MCO,Monaco,Europe & Central Asia
MNG,Mongolia,East Asia & Pacific
MNE,Montenegro,Europe & Central Asia
MSR,Montserrat,
MAR,Morocco,Middle East & North Africa
MOZ,Mozambique,Sub-Saharan Africa
MMR,Myanmar,East Asia & Pacific
NAM,Namibia,Sub-Saharan Africa
NRU,Nauru,East Asia & Pacific
NPL,Nepal,South Asia
NLD,Netherlands,Europe & Central Asia
NCL,New Caledonia,East Asia & Pacific
NZL,New Zealand,East Asia & Pacific
NIC,Nicaragua,Latin America & Caribbean
NER,Niger,Sub-Saharan Africa
NGA,Nigeria,Sub-Saharan Africa
NIU,Niue,
NFK,Norfolk Island,
MNP,Northern Mariana Islands,East Asia & Pacific
NOR,Norway,Europe & Central Asia
OMN,Oman,Middle East & North Africa
PAK,Pakistan,South Asia
PLW,Palau,East Asia & Pacific
PSE,"Palestine, State of",
PAN,Panama,Latin America & Caribbean
PNG,Papua New Guinea,East Asia & Pacific
PRY,Paraguay,Latin America & Caribbean
PER,Peru,Latin America & Caribbean
PHL,Philippines,East Asia & Pacific
PCN,Pitcairn,
POL,Poland,Europe & Central Asia
PRT,Portugal,Europe & Central Asia
PRI,Puerto Rico,Latin America & Caribbean
QAT,Qatar,Middle East & North Africa
REU,Réunion,
ROU,Romania,Europe & Central Asia
RUS,Russian Federation,Europe & Central Asia
RWA,Rwanda,Sub-Saharan Africa
BLM,Saint Barthélemy,
SHN,"Saint Helena, Ascension and Tristan da Cunha",
KNA,Saint Kitts and Nevis,Latin America & Caribbean
LCA,Saint Lucia,Latin America & Caribbean
MAF,Saint Martin (French part),Latin America & Caribbean
SPM,Saint Pierre and Miquelon,
VCT,Saint Vincent and the Grenadines,Latin America & Caribbean
WSM,Samoa,East Asia & Pacific
SMR,San Marino,Europe & Central Asia
STP,Sao Tome and Principe,Sub-Saharan Africa
SAU,Saudi Arabia,Middle East & North Africa
SEN,Senegal,Sub-Saharan Africa
SRB,Serbia,Europe & Central Asia
SYC,Seychelles,Sub-Saharan Africa
SLE,Sierra Leone,Sub-Saharan Africa
SGP,Singapore,East Asia & Pacific
SXM,Sint Maarten (Dutch part),Latin America & Caribbean
SVK,Slovakia,Europe & Central Asia
SVN,Slovenia,Europe & Central Asia
SLB,Solomon Islands,East Asia & Pacific
SOM,Somalia,Sub-Saharan Africa
ZAF,South Africa,Sub-Saharan Africa
SGS,South Georgia and the South Sandwich Islands,
SSD,South Sudan,Sub-Saharan Africa
ESP,Spain,Europe & Central Asia
LKA,Sri Lanka,South Asia
SDN,Sudan,Sub-Saharan Africa
SUR,Suriname,Latin America & Caribbean
SJM,Svalbard and Jan Mayen,
SWZ,Swaziland,
SWE,Sweden,Europe & Central Asia
CHE,Switzerland,Europe & Central Asia
SYR,Syrian Arab Republic,Middle East & North Africa
TWN,"Taiwan, Province of China",
TJK,Tajikistan,Europe & Central Asia
TZA,Tanzania,Sub-Saharan Africa
THA,Thailand,East Asia & Pacific
TLS,Timor-Leste,East Asia & Pacific
TGO,Togo,Sub-Saharan Africa
TKL,Tokelau,
