Country,Tax,Unit,Sum of Value,Year
AT,ENV,MIO_EUR,3974.84,1995
AT,ENV,MIO_EUR,4051.3,1996
AT,ENV,MIO_EUR,4419.03,1997
AT,ENV,MIO_EUR,4484.87,1998
AT,ENV,MIO_EUR,4710.28,1999
AT,ENV,MIO_EUR,5165.67,2000
AT,ENV,MIO_EUR,5694.63,2001
AT,ENV,MIO_EUR,5959.88,2002
AT,ENV,MIO_EUR,6249.5,2003
AT,ENV,MIO_EUR,6465.45,2004
AT,ENV,MIO_EUR,6565.66,2005
AT,ENV,MIO_EUR,6518.51,2006
AT,ENV,MIO_EUR,6736.7,2007
AT,ENV,MIO_EUR,6911.34,2008
AT,ENV,MIO_EUR,6785.07,2009
AT,ENV,MIO_EUR,6912.78,2010
AT,ENV,MIO_EUR,7509.33,2011
AT,ENV,MIO_EUR,7665.36,2012
AT,ENV,MIO_EUR,7725.21,2013
AT,ENV,MIO_EUR,7974.95,2014
AT,ENV,MIO_EUR,8203.7,2015
AT,ENV,MIO_EUR,8384.12,2016
AT,ENV,MIO_EUR,8844.75,2017
AT,ENV,MIO_EUR,8784.04,2018
AT,ENV,MIO_EUR,9058.65,2019
AT,ENV,MIO_EUR,7974.92,2020
AT,ENV,MIO_EUR,8774.99,2021
AT,ENV,MIO_EUR,8419.55,2022
AT,ENV,MIO_NAC,3807.9,1995
AT,ENV,MIO_NAC,3955.37,1996
AT,ENV,MIO_NAC,4439.5,1997
AT,ENV,MIO_NAC,4515.56,1998
AT,ENV,MIO_NAC,4710.28,1999
AT,ENV,MIO_NAC,5165.67,2000
AT,ENV,MIO_NAC,5694.63,2001
AT,ENV,MIO_NAC,5959.88,2002
AT,ENV,MIO_NAC,6249.5,2003
AT,ENV,MIO_NAC,6465.45,2004
AT,ENV,MIO_NAC,6565.66,2005
AT,ENV,MIO_NAC,6518.51,2006
AT,ENV,MIO_NAC,6736.7,2007
AT,ENV,MIO_NAC,6911.34,2008
AT,ENV,MIO_NAC,6785.07,2009
AT,ENV,MIO_NAC,6912.78,2010
AT,ENV,MIO_NAC,7509.33,2011
AT,ENV,MIO_NAC,7665.36,2012
AT,ENV,MIO_NAC,7725.21,2013
AT,ENV,MIO_NAC,7974.95,2014
AT,ENV,MIO_NAC,8203.7,2015
AT,ENV,MIO_NAC,8384.12,2016
AT,ENV,MIO_NAC,8844.75,2017
AT,ENV,MIO_NAC,8784.04,2018
AT,ENV,MIO_NAC,9058.65,2019
AT,ENV,MIO_NAC,7974.92,2020
AT,ENV,MIO_NAC,8774.99,2021
AT,ENV,MIO_NAC,8419.55,2022
AT,ENV,PC_GDP,2.16,1995
AT,ENV,PC_GDP,2.17,1996
AT,ENV,PC_GDP,2.35,1997
AT,ENV,PC_GDP,2.3,1998
AT,ENV,PC_GDP,2.31,1999
AT,ENV,PC_GDP,2.42,2000
AT,ENV,PC_GDP,2.58,2001
AT,ENV,PC_GDP,2.63,2002
AT,ENV,PC_GDP,2.7,2003
